Date,Open,High,Low,Close,Adj Close,Volume
5/18/2019,7.266.080.078,8.281.660.156,7.257.259.766,8.193.139.648,8.193.139.648,723011166
5/19/2019,8.193.139.648,8.193.139.648,7.591.850.098,7.998.290.039,7.998.290.039,637617163
5/20/2019,7.998.290.039,8.102.319.824,780.777.002,7.947.930.176,7.947.930.176,357803946
5/21/2019,7.947.930.176,8.033.759.766,7.533.660.156,7.626.890.137,7.626.890.137,424501866
5/22/2019,7.626.890.137,7.971.259.766,7.478.740.234,7876.5,7876.5,386766321
5/23/2019,7876.5,8.165.450.195,7.801.569.824,7.996.399.902,7.996.399.902,413162746
5/24/2019,7.996.399.902,8.140.819.824,7.948.680.176,8.059.129.883,8.059.129.883,179206342
5/25/2019,8.059.129.883,8779,7.894.529.785,8.726.230.469,8.726.230.469,483663699
5/26/2019,8.726.230.469,8.931.530.273,8.668.459.961,8.785.169.922,8.785.169.922,507164714
5/27/2019,8.785.169.922,8.818.709.961,8.562.200.195,8.718.849.609,8.718.849.609,360752199
5/28/2019,8.718.849.609,8.760.480.469,8.444.099.609,866.455.957,866.455.957,380343928
5/29/2019,866.455.957,9.065.889.648,8.027.209.961,8276.25,8276.25,815525590
5/30/2019,8276.25,8.570.780.273,8116,8.560.080.078,8.560.080.078,500141087
5/31/2019,8.550.629.883,8.576.339.844,8.459.650.391,8.504.980.469,8.504.980.469,69915456
